"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","date","RowId","y"
"53","admin.","married","university.degree","no","yes","no","cellular","apr","tue","158","2","6","1","success","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30001","no"
"31","technician","single","university.degree","no","yes","no","telephone","apr","tue","847","2","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30002","no"
"47","housemaid","single","professional.course","no","yes","no","cellular","apr","tue","242","2","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30003","no"
"78","retired","married","basic.4y","no","yes","no","telephone","apr","tue","137","2","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30004","no"
"19","student","single","unknown","no","yes","yes","cellular","apr","tue","278","3","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30005","no"
"85","retired","married","basic.4y","unknown","yes","no","cellular","apr","tue","129","3","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30006","no"
"64","retired","married","university.degree","no","no","no","cellular","apr","tue","157","4","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30007","no"
"27","services","single","high.school","no","yes","no","cellular","apr","tue","204","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30008","no"
"31","technician","single","university.degree","no","no","no","telephone","apr","tue","126","4","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30009","no"
"61","admin.","married","university.degree","no","yes","no","cellular","apr","wed","183","5","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30010","no"
"46","admin.","married","university.degree","no","yes","no","telephone","apr","wed","94","7","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30011","no"
"46","admin.","married","university.degree","no","yes","no","telephone","apr","wed","154","8","999","1","failure","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30012","no"
"23","admin.","single","university.degree","no","yes","no","cellular","apr","wed","71","7","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30013","no"
"33","admin.","single","university.degree","no","yes","no","telephone","apr","wed","220","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30014","no"
"29","admin.","single","high.school","no","yes","yes","telephone","apr","wed","186","4","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30015","no"
"23","admin.","single","university.degree","no","no","yes","cellular","apr","wed","343","5","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30016","no"
"23","admin.","single","university.degree","no","no","no","cellular","apr","wed","341","2","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30017","yes"
"30","unemployed","single","university.degree","no","yes","no","cellular","apr","wed","400","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30018","no"
"23","admin.","single","university.degree","no","yes","no","cellular","apr","wed","621","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30019","yes"
"23","admin.","single","university.degree","no","yes","no","cellular","apr","wed","219","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30020","yes"
"52","blue-collar","married","basic.4y","no","yes","no","cellular","apr","wed","315","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30021","no"
"45","self-employed","single","basic.9y","no","yes","no","cellular","apr","wed","156","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30022","no"
"23","admin.","single","university.degree","no","no","no","cellular","apr","wed","314","1","999","1","failure","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30023","no"
"45","technician","divorced","university.degree","no","no","yes","telephone","apr","wed","101","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30024","no"
"29","admin.","single","high.school","no","no","yes","cellular","apr","wed","319","1","6","1","success","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30025","no"
"46","admin.","married","university.degree","no","yes","no","cellular","apr","wed","164","2","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30026","no"
"64","retired","married","basic.4y","no","yes","no","cellular","apr","wed","104","1","999","2","failure","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30027","no"
"29","admin.","single","university.degree","no","yes","no","cellular","apr","wed","145","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30028","no"
"64","retired","married","university.degree","no","yes","no","cellular","apr","wed","102","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30029","yes"
"39","admin.","married","university.degree","no","no","no","cellular","apr","wed","94","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30030","no"
"37","services","single","high.school","no","yes","no","cellular","apr","wed","165","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30031","no"
"25","admin.","single","high.school","no","yes","no","cellular","apr","wed","416","1","999","0","nonexistent","-1.8","93.075","-47.1","1.405","5099.1","2017-04-10T10:00:00","30032","yes"
